id,price,bedrooms,bathrooms,sqft_living
7129300520,221900,3,1,1180
6414100192,538000,3,2.25,2570
5631500400,180000,2,1,770
2487200875,604000,4,3,1960
1954400510,510000,3,2,1680
7237550310,1.225E+06,4,4.5,5420
1321400060,257500,3,2.25,1715
2008000270,291850,3,1.5,1060
2414600126,229500,3,1,1780
3793500160,323000,3,2.5,1890
1736800520,662500,3,2.5,3560
9212900260,468000,2,1,1160
114101516,310000,3,1,1430
6054650070,400000,3,1.75,1370
1175000570,530000,5,2,1810
9297300055,650000,4,3,2950
1875500060,395000,3,2,1890
6865200140,485000,4,1,1600
16000397,189000,2,1,1200
7983200060,230000,3,1,1250
6300500875,385000,4,1.75,1620
2524049179,2E+06,3,2.75,3050
7137970340,285000,5,2.5,2270
8091400200,252700,2,1.5,1070
3814700200,329000,3,2.25,2450
1202000200,233000,3,2,1710
1794500383,937000,3,1.75,2450
3303700376,667000,3,1,1400
5101402488,438000,3,1.75,1520
1873100390,719000,4,2.5,2570
8562750320,580500,3,2.5,2320
2426039314,280000,2,1.5,1190
461000390,687500,4,1.75,2330
7589200193,535000,3,1,1090
7955080270,322500,4,2.75,2060
9547205180,696000,3,2.5,2300
9435300030,550000,4,1,1660
2768000400,640000,4,2,2360
7895500070,240000,4,1,1220
2078500320,605000,4,2.5,2620
5547700270,625000,4,2.5,2570
7766200013,775000,4,2.25,4220
7203220400,861990,5,2.75,3595
9270200160,685000,3,1,1570
1432701230,309000,3,1,1280
8035350320,488000,3,2.5,3160
8945200830,210490,3,1,990
4178300310,785000,4,2.5,2290
9215400105,450000,3,1.75,1250
822039084,1.35E+06,3,2.5,2753
5245600105,228000,3,1,1190
7231300125,345000,5,2.5,3150
7518505990,600000,3,1.75,1410
3626039271,585000,2,1.75,1980
4217401195,920000,5,2.25,2730
9822700295,885000,4,2.5,2830
9478500640,292500,4,2.5,2250
2799800710,301000,3,2.5,2420
7922800400,951000,5,3.25,3250
8079040320,430000,4,3,1850
